상호명,도로명주소,업종,전화번호,경도,위도
경희대 태풍 태권도,"경기 용인시 기흥구 동백7로 58 상가동 201호,202호 (동백동)",학원 - 예?체능계학원,031-693-6789,127.1577116,37.2825957
루트원커피,"경기 용인시 기흥구 평촌2로1번길 26-1,1층 102호 (동백동)",일반휴게음식 - 서양음식,031-0000-0000,127.1537616,37.2798872
한국체대 캡틴 태권도장,경기 용인시 기흥구 평촌1로1번길 11 (동백동),학원 - 예?체능계학원,031-8005-7004,127.1529393,37.2833654
개인과외,"경기 용인시 기흥구 평촌2로1번길 16-16,302호 (동백동)",학원 - 기타 교육기관,,127.1535128,37.28022
주식회사 메이크531학원,"경기 용인시 기흥구 동백중앙로 358-8,603호 (동백동,백현프라자)",학원 - 보습학원,031-283-2755,127.160035,37.2820403
서울정형외과의원,경기 용인시 기흥구 동백동 2204-1 동백훼미리프라자II 6층 603~605호,의원 - 의원,031-8005-7571,127.1534814,37.2770259
우리소아과의원,경기 용인시 기흥구 동백동 3201-1모아미래도프라자3층,의원 - 의원,031-693-7585,127.1608964,37.2815742
연세지세븐(G7)치과,경기 용인시 기흥구 동백동 2505.3 우함빌딩 402,의원 - 의원,031-693-5650,127.1541845,37.2699794
현대자동차(동백점),경기 용인시 기흥구 동백죽전대로 547 (동백동),자동차정비 유지 - 자동차정비,031-282-8293,127.1500724,37.2870962
장미홈토탈,경기 용인시 기흥구 동백동 598-8중앙프라자제1층109-1호,"직물 - 카페트,커튼,천막,지물",031-8005-6555,127.159627,37.2820482
GM대우동백바로정비,경기 용인시 기흥구 동백동 209-3,자동차정비 유지 - 자동차정비,031-693-8202,127.1530931,37.2851314
신흥통신,"경기 용인시 기흥구 평촌1로 12, 302 (동백동)",사무통신 - 통신기기,031-264-0404,127.1524931,37.2843236
동백화로불닭발,경기 용인시 기흥구 평촌2로 2 (동백동),일반휴게음식 - 일반한식,031-285-1215,127.1532862,37.2819118
베이비파스텔,경기 용인시 기흥구 동백죽전대로 491-13 (동백동),광학제품 - 사진관,031-889-9607,127.149992,37.2822346
동백삼성내과의원,"경기 용인시 기흥구 동백중앙로 356, 2층(동백동,지우프라자)",의원 - 의원,031-693-8998,127.159624,37.2824121
알파대림문구,경기 용인시 기흥구 동백동 3101-1 지우프라자지층,서적문구 - 문구용품,031-693-6888,127.159624,37.2824121
동백경희한의원,경기 용인시 기흥구 동백동 3101-6여강빌딩301,의원 - 한의원,031-287-7510,127.1597818,37.2818567
푸른치과의원,경기 용인시 기흥구 동백동 호수마을 계룡리슈빌아파트 단지내상가 2층 푸른치과의원,의원 - 치과의원,031-899-6401,127.1539822,37.2839811
차금순헤어모드,"경기 용인시 기흥구 동백동 동백택지개발지구,C3-1,블럭백현마을모아미래도상가동203",보건위생 - 미용원,031-693-1920,127.1601613,37.2831463
연세해맑은피부과의원,"경기 용인시 기흥구 동백동 3201-1,미래도프라자405,406",의원 - 의원,031-693-7582,127.1608964,37.2815742
컬럼비아치과,"경기 용인시 기흥구 동백동 3201-1미래도프라자701,702,704,705",의원 - 치과의원,031-693-7528,127.1608964,37.2815742
스폴어학원,"경기 용인시 기흥구 동백동 3101-6여강빌딩701,702호",회원제형태 - 학원,031-693-9494,127.1597818,37.2818567
동백열린치과의원,경기 용인시 기흥구 동백동 3101-8신동백빌딩402,의원 - 치과의원,031-693-8275,127.1594371,37.2821547
파리바게뜨동백백현점,경기 용인시 기흥구 동백동 3101-8신동백빌딩105,음료식품 - 제과점,031-287-8201,127.1594371,37.2821547
참경희한의원,경기 용인시 기흥구 동백동 3101-7경안빌딩202,의원 - 한의원,031-693-6936,127.1595859,37.2820153
미래i소아과의원,"경기 용인시 기흥구 동백중앙로 352 (동백동,백현마을신동백빌딩301호)",의원 - 의원,031-693-6135,127.1594371,37.2821547
동백검도관,경기 용인시 기흥구 동백동 3101-8신동백빌딩6층2,학원 - 예?체능계학원,031-693-6007,127.1594371,37.2821547
태인한의원,경기 용인시 기흥구 동백동 3101-8신동백프라자401,의원 - 한의원,031-693-9330,127.1594371,37.2821547
비비큐치킨동백호수점,경기 용인시 기흥구 동백동 112-3.101,일반휴게음식 - 서양음식,031-693-9292,127.1641721,37.2869047
동백쥬니어치과,"경기 용인시 기흥구 동백동 2202,2,3동백훼미리프라자5층506,507호",의원 - 치과의원,031-285-7522,127.1526181,37.2774675
배스킨라빈스용인동백1호점,경기 용인시 기흥구 동백동 3101-8일양박씨종친회회관104,음료식품 - 제과점,031-285-9031,127.1594371,37.2821547
동막문구펜시,경기 용인시 기흥구 동백동 호수마을3단지주공아파트단지내상가101,서적문구 - 문구용품,031-679-6796,127.1576903,37.2839303
다인플라워샵,경기 용인시 기흥구 동백동 동백택지개발지구C5-1블럭코아루단지내상가105,문화.취미 - 화원,031-899-0910,127.1594349,37.2809033
미메이드치과의원,경기 용인시 기흥구 동백동 2505-1브이타운501,의원 - 치과의원,031-693-7922,127.1535981,37.2696143
채플린노래연습장,"경기 용인시 기흥구 동백동 2205-1,502",레저업소 - 노 래 방,031-287-4343,127.12657,37.2712814
스카이노래연습장,"경기 용인시 기흥구 동백동 2501-1,9층",레저업소 - 노 래 방,031-275-2581,127.09527,37.3244555
가정식즉석반찬점,"경기 용인시 기흥구 평촌2로 3 101(동백동,1층)",음료식품 - 기타음료식품,031-281-8251,127.153366,37.2817123
삼성그린소아과,경기 용인시 기흥구 동백동 2505-3.우항빌딩.405,의원 - 의원,031-274-0035,127.1541845,37.2699794
코닥칼라동백점,경기 용인시 기흥구 동백동 쥬네브상가용인P.F사업쇼핑몰A블럭0025호,광학제품 - 사진관,031-679-0369,127.1503072,37.2740046
화이트헤어,경기 용인시 기흥구 동백동 112-4,보건위생 - 미용원,031-693-9630,127.1634451,37.2869865
믿음카센타,경기 용인시 기흥구 평촌1로 5 (동백동),자동차정비 유지 - 자동차정비,031-693-5112,127.1530987,37.2840924
동백수이비인후과의원,"경기 용인시 기흥구 동백동 2203-3레이크시티프라자404,405",의원 - 의원,031-287-0036,127.1518355,37.2767209
목화나무숲,경기 용인시 기흥구 평촌1로7번길 6-11 (동백동),가구 - 일반가구,031-274-2029,127.1520319,37.2837704
제이엘동물병원,경기 용인시 기흥구 동백동 212-7.102~103호,기타의료기관 - 동물병원,031-285-8275,127.1540532,37.2810613
어울림마트,경기 용인시 기흥구 동백동 C1-2블럭주공단지내상가105,유통업 영리 - 슈퍼마켓,031-679-4333,127.1536477,37.285831
산내음,경기 용인시 기흥구 석성로521번길 14-15 외3필지(동백동),일반휴게음식 - 일반한식,031-287-8689,127.1569115,37.2910634
동백동물병원,경기 용인시 기흥구 동백동 2202-1번지 훼미리프라자1층107,기타의료기관 - 동물병원,031-693-8628,127.1526181,37.2774675
붕붕카센타,경기 용인시 기흥구 동백동 1007-1,자동차정비 유지 - 자동차정비,031-286-1182,127.152916,37.2756618
모닝마트(하모니동백점),"경기 용인시 기흥구 동백7로 83 1층(동백동, 중앙프라자)",유통업 영리 - 슈퍼마켓,031-287-1771,127.1604196,37.2816463
동백점기아오토큐,경기 용인시 기흥구 평촌1로8번길 11-6 (동백동),자동차정비 유지 - 자동차정비,031-693-8581,127.1526839,37.285407
모닝글로링(동백점),경기 용인시 기흥구 동백동 598-5 중앙프라자 126~128호,서적문구 - 문구용품,031-693-9561,127.1604089,37.2817299
아이이씨음악학원,경기 용인시 기흥구 동백동 2505-1동백V-TOWN805-806호,학원 - 예?체능계학원,031-286-3072,127.1535981,37.2696143
동백카메카닉스,경기 용인시 기흥구 동백동 221-4,자동차정비 유지 - 자동차정비,031-693-9511,127.1664901,37.2797543
삼천리자전거,경기 용인시 기흥구 평촌1로1번길 7-1 101호(동백동),레져용품 - 스포츠?레져용품,031-275-1090,127.1535258,37.2833779
사진생각,"경기 용인시 기흥구 동백중앙로 358-8,601(동백동,백현프라자)",광학제품 - 사진관,031-285-0065,127.160035,37.2820403
조해경세무회계사무소,경기 용인시 기흥구 동백동 2505-1동백V타운601-1호,용역 서비스 - 법률회계서비스(개인),031-693-9447,127.1535981,37.2696143
엠플러스병원,"경기 용인시 기흥구 동백동 동백택지개발지구상업용지2-5-3""THEM""",의원 - 의원,031-285-6900,127.1526482,37.2763622
삼천리할인매장,경기 용인시 기흥구 동백동 477-1,레져용품 - 스포츠?레져용품,031-285-8884,127.1510947,37.2789913
오케이치과의원,경기 용인시 기흥구 동백중앙로 358-12 유타운상가 403호(동백동),의원 - 치과의원,031-287-5365,127.1601975,37.2819869
리필랜드잉크충전,경기 용인시 기흥구 평촌2로2번길 11-20 (동백동),사무통신 - 기타 사무용품,031-287-8955,127.1521453,37.2829933
라벨르헤어,"경기 용인시 기흥구 동백동 2202-1,2,3동백훼미리프라자208",보건위생 - 미용원,031-274-6533,127.1526181,37.2774675
참메디칼약국,경기 용인시 기흥구 동백동 2202-1외2필지훼미리프라자4층405,약국 - 약국,031-8005-8504,127.1526181,37.2774675
원조칡냉면,경기 용인시 기흥구 평촌1로 16-1 101호(동백동),일반휴게음식 - 일반한식,031-286-7546,127.1518423,37.2843231
동백철물,경기 용인시 기흥구 동백동 212-6.102,기타 - 기계공구,031-285-5580,127.153962,37.2811873
동백서울치과,"경기 용인시 기흥구 동백7로 83 (동백동,동백중앙프라자304,305)",의원 - 치과의원,031-8005-7522,127.1604196,37.2816463
호수동물병원,경기 용인시 기흥구 평촌1로8번길 11-4 (동백동),기타의료기관 - 동물병원,031-8005-7507,127.1528669,37.2853753
뉴욕치과의원,경기 용인시 기흥구 동백동 2502-2제일프라자401,의원 - 치과의원,031-284-2004,127.1538906,37.2697607
파리바게뜨동백호수마을점,경기 용인시 기흥구 동백동 60-8,음료식품 - 제과점,031-693-8274,127.1672196,37.2841519
뽀빠이,경기 용인시 기흥구 평촌1로1번길 5 1층(동백동),보건위생 - 미용원,031-285-2226,127.153535,37.2837061
화장품(네일샵),경기 용인시 기흥구 동백동 2101쥬네브썬월드6018,보건위생 - 기타대인서비스,031-768-9821,127.1503072,37.2740046
동백자연미술학원,"경기 용인시 기흥구 평촌2로1번길 10 (동백동, 1층)",학원 - 예?체능계학원,031-693-9392,127.1537126,37.2810639
M&M웰빙몰,경기 용인시 기흥구 동백동 2202-1외2필지동백훼미리프라자403호~404호,건강식품 - 기타건강식품,031-8005-8488,127.1526181,37.2774675
세븐일레븐.동백호수점,경기 용인시 기흥구 평촌2로 2 (동백동),유통업 영리 - 편 의 점,031-287-9266,127.1532862,37.2819118
쌈채마을,경기 용인시 기흥구 평촌2로1번길 32-1 외1필지(동백동),일반휴게음식 - 일반한식,031-8005-9339,127.1533355,37.2794524
컬러튜닝(colortuning),경기 용인시 기흥구 동백죽전대로 543 (동백동),자동차정비 유지 - 카인테리어,031-8005-6543,127.150065,37.2864431
하이카동백점,경기 용인시 기흥구 평촌1로8번길 11-22 (동백동),자동차정비 유지 - 자동차정비,031-275-9888,127.151882,37.285444
미래도독서실,경기 용인시 기흥구 동백동 597-1미래도프라자601.602.603호,학원 - 독서실,031-352-6996,127.16089,37.2815816
이레보습학원,"경기 용인시 기흥구 동백중앙로 358-19 502호(동백동, 미래도프라자)",회원제형태 - 학원,031-274-7371,127.1608964,37.2815742
교촌치킨동백1호점,"경기 용인시 기흥구 평촌2로1번길 7,상가동 1층 102,103호 (동백동)",일반휴게음식 - 서양음식,031-274-0033,127.1538224,37.2813981
블루핸드,경기 용인시 기흥구 평촌1로7번길 6-2 (동백동),기타 - 기타 전문점,031-889-3851,127.1527998,37.2839407
1001안경콘택트(용인동백점),경기 용인시 기흥구 평촌2로2번길 10-1 (동백동),보건위생 - 안경,031-693-8896,127.1534928,37.2827628
지우헤어샵,경기 용인시 기흥구 동백동 689해든마을동문굿모닝힐상가동2층201,보건위생 - 미용원,031-679-6127,127.1509548,37.2804362
더샵피아노교습소,"경기 용인시 기흥구 동백동 동백택지개발지구C3-2,백현마을모아미래도아파트상가동202",학원 - 예?체능계학원,031-693-2088,127.1600241,37.2824711
카페제이(CafeJ),"경기 용인시 기흥구 평촌2로1번길 25-1,1층(동백동)",일반휴게음식 - 서양음식,031-287-3005,127.1540638,37.2798546
"별법동태탕,동태찜",경기 용인시 기흥구 평촌2로2번길 11-4 (동백동),일반휴게음식 - 일반한식,031-8005-6692,127.1532173,37.2829617
준텔레콤,경기 용인시 기흥구 동백동 2203-3레이크시티프라자106,사무통신 - 통신기기,031-8005-9956,127.1518355,37.2767209
김밥천국,"경기 용인시 기흥구 동백7로 79 103호(동백동, 두빈빌딩)",일반휴게음식 - 스넥,031-286-4568,127.159977,37.2817305
리홈쿠첸 용인서비스,경기 용인시 기흥구 평촌1로8번길 7-14 (동백동),수리서비스 - 가정용품수리,031-287-2797,127.1521581,37.2850332
그린농원,"경기 용인시 기흥구 동백죽전대로 455-10 105동 404호(동백동, 해든마을동문굿모닝힐)",문화.취미 - 화원,031-275-2638,127.1511344,37.280707
안경마을,"경기 용인시 기흥구 동백동 3101-1,108",보건위생 - 안경,031-275-5650,127.159624,37.2824121
아침에떡,"경기 용인시 기흥구 동백중앙로 358-19 109호(동백동, 미래도프라자)",음료식품 - 제과점,031-693-8873,127.1608964,37.2815742
경인유통,경기 용인시 기흥구 평촌1로 3 상가 1층(동백동),유통업 영리 - 슈퍼마켓,031-287-3328,127.1532507,37.2840988
드림사,경기 용인시 기흥구 평촌1로8번길 11-24 (동백동),보건위생 - 미용재료,031-275-1254,127.1517403,37.2854495
죠셉코냑헤어,경기 용인시 기흥구 평촌2로1번길 29-1 (동백동),보건위생 - 미용원,031-8005-7090,127.1537619,37.279564
샤보이동백점,"경기 용인시 기흥구 동백중앙로 358-19 111호(동백동, 미래도프라자)",보건위생 - 미용원,031-274-4568,127.1608964,37.2815742
샘물약국,"경기 용인시 기흥구 동백중앙로 356,1층 7호(동백동, 지우프라자)",약국 - 약국,031-286-7594,127.159624,37.2824121
애드포스,"경기 용인시 기흥구 동백8로 19 1603동 904호(동백동, 호수마을월드메르디앙)",용역 서비스 - 종합용역,031-893-6665,127.1529548,37.2867462
더블유공터영어동백센터학원,"경기 용인시 기흥구 동백7로 83,3층 303호 (동백동,중앙프라자)",학원 - 외국어학원,031-287-4777,127.1604196,37.2816463
동백에스셈학원,"경기 용인시 기흥구 동백중앙로 358-8 2층 202호(동백동, 동백백현프라자)",학원 - 보습학원,031-286-2668,127.160035,37.2820403
세심당한약국,경기 용인시 기흥구 평촌2로1번길 5 (동백동),약국 - 약국,031-8005-8876,127.1537583,37.2815086
백현해법영어학원,"경기 용인시 기흥구 동백중앙로 358-8 602호(동백동, 백현프라자)",학원 - 보습학원,031-274-5929,127.160035,37.2820403
유투엠수학학원,"경기 용인시 기흥구 동백중앙로 358-8 801동 802호(동백동, 백현프라자)",회원제형태 - 학원,031-8005-5577,127.160035,37.2820403
동백멘토플러스학원,경기 용인시 기흥구 평촌3로 5-7 (동백동),학원 - 보습학원,031-693-6481,127.153486,37.2804285
중앙탁구클럽,경기 용인시 기흥구 동백동 598-5중앙프라자204.205호,레저업소 - 기타레져업소,031-283-8979,127.1604089,37.2817299
안디옥전산,"경기 용인시 기흥구 평촌2로1번길 8-12,1층 (동백동)",사무통신 - 컴퓨터,031-287-5891,127.1531634,37.2811722
CO CO,"경기 용인시 기흥구 동백중앙로 358-8 101호(동백동, 동백백현프라자)",신변잡화 - 액세서리,031-306-8276,127.160035,37.2820403
마리,경기 용인시 기흥구 동백동 3201-1백현마을미래도프라자1층101호,의류 - 정장,031-286-3490,127.1608964,37.2815742
DIY세상,경기 용인시 기흥구 동백동 633-11번지 101호,가구 - 일반가구,031-274-8054,127.1535562,37.2793852
호수마트,"경기 용인시 기흥구 동백동 623-9,8",유통업 영리 - 슈퍼마켓,031-287-6645,127.1532081,37.2815605
동남오토바이,경기 용인시 기흥구 평촌2로 3 1층(동백동),수리서비스 - 기타수리서비스,031-283-4846,127.153366,37.2817123
기흥종이문화교육원,경기 용인시 기흥구 평촌2로2번길 7-8 101(동백동),문화.취미 - 문화취미기타,031-286-8414,127.1528677,37.2826116
CJ상사(뷰티하우스),경기 용인시 기흥구 동백중앙로 352 103 (동백동),보건위생 - 미용재료,031-203-3533,127.1594371,37.2821547
그림숲미술,"경기 용인시 기흥구 동백7로 56 1103동 702호(동백동, 호수마을서해그랑블)",회원제형태 - 학원,070-8821-1791,127.1568873,37.2823342
매직터치 동백중앙점,경기 용인시 기흥구 평촌1로8번길 6 상가 1층(동백동),자동차정비 유지 - 카인테리어,031-275-0545,127.1530951,37.2845574
쿠키상자,경기 용인시 기흥구 평촌2로2번길 12 (동백동),음료식품 - 제과점,031-309-9125,127.1535067,37.2829345
동보명품세탁,경기 용인시 기흥구 동백동 654 호수마을동보노빌리티상가 202호,수리서비스 - 세탁소,031-693-5582,127.1547588,37.2821766
기독교한국침례회동백교회,경기 용인시 기흥구 동백7로 87 (동백동),기타 - 비영리/대상,031-693-6286,127.1606901,37.2813094
더레몬티,경기 용인시 기흥구 평촌2로1번길 33 1층(동백동),일반휴게음식 - 스넥,031-274-7963,127.1535587,37.2793645
스타일헤어클럽,경기 용인시 기흥구 동백7로 100 한라비발디 상가동 104호(동백동),보건위생 - 미용원,031-286-8842,127.1614974,37.2802787
용인대화랑태권도,경기 용인시 기흥구 언동로217번길 45-39 3층(동백동),학원 - 예?체능계학원,031-8005-5502,127.1514202,37.2792733
농산물장터,"경기 용인시 기흥구 동백7로 84 상가동 104호(동백동, 백현마을코아루아파트)",음료식품 - 농?축?수산품,031-266-0445,127.1600173,37.2812344
하이그레이드통문장영어학원,경기 용인시 기흥구 동백동 593-8 동백백현프라자 502호,학원 - 보습학원,031-287-0597,127.160035,37.2820403
커피와나무,경기 용인시 기흥구 평촌1로8번길 11-10 (동백동),가구 - 일반가구,031-274-7097,127.1525257,37.2854128
점프스쿨,"경기 용인시 기흥구 동백7로 83 204동 205호(동백동, 중앙프라자)",회원제형태 - 레져업소,031-282-8098,127.1604196,37.2816463
공감피아노교습소,경기 용인시 기흥구 동백동 602 호수마을주공아파트나상가동103호,학원 - 예?체능계학원,031-693-4510,127.1576011,37.2839992
커브스 동백클럽,"경기 용인시 기흥구 동백7로 73 4층 402호 (동백동,경안빌딩)",회원제형태 - 레져업소,031-286-4230,127.1595859,37.2820153
경희블랙타이거즈태권도,경기 용인시 기흥구 동백죽전대로 455-17 로얄듀크상가 202호(동백동),학원 - 예?체능계학원,031-693-6290,127.1488602,37.2799399
용인대특전합기도,"경기 용인시 기흥구 동백7로 83 308호(동백동, 중앙프라자)",학원 - 예?체능계학원,031-275-2822,127.1604196,37.2816463
엿장수,경기 용인시 기흥구 동백동 동백택지개발지구코아루상가 102,일반휴게음식 - 스넥,031-304-7467,127.1600173,37.2812344
마실더그린테이블,"경기 용인시 기흥구 평촌1로1번길 7,1층 101호 (동백동)",일반휴게음식 - 서양음식,070-4120-1991,127.1535268,37.2835545
명인세탁,"경기 용인시 기흥구 동백8로 87 상가 101호(동백동, 백현마을서해그랑블아파트)",수리서비스 - 세탁소,031-679-3935,127.1604922,37.2845873
e-푸른기획,경기 용인시 기흥구 동백8로 23 호수마을월드메르디앙제 상가동 104호(동백동),건축자재 - 인테리어전문,031-287-6907,127.1533461,37.2857682
튼튼영어용인동백구성대리점,"경기 용인시 기흥구 동백중앙로 358-8 306호(동백동, 백현프라자)",회원제형태 - 서적,031-8005-8305,127.160035,37.2820403
가인치과의원,"경기 용인시 기흥구 동백중앙로 356 403호(동백동, 지우프라자)",의원 - 치과의원,031-693-9477,127.159624,37.2824121
명성카,경기 용인시 기흥구 평촌1로8번길 10 (동백동),자동차정비 유지 - 자동차정비,031-693-6788,127.153109,37.2849725
효재찬방,"경기 용인시 기흥구 동백중앙로 358-19 110호(동백동, 미래도프라자)",음료식품 - 기타음료식품,031-8005-7767,127.1608964,37.2815742
용인대백현태권도,경기 용인시 기흥구 동백8로 124 모아미래도 상가동 3층(동백동),학원 - 예?체능계학원,031-693-2333,127.1635982,37.2827048
예쁜집꾸미기,경기 용인시 기흥구 평촌2로1번길 7 101호(동백동),건축자재 - 기타건축자재,031-275-1369,127.1538224,37.2813981
이맘때,"경기 용인시 기흥구 평촌2로1번길 16-13,1층(동백동)",의류 - 정장,031-889-4313,127.1538435,37.2801835
제이모터스킨(J motor skin),경기 용인시 기흥구 평촌2로1번길 8-7 1층(동백동),자동차정비 유지 - 카인테리어,031-287-5032,127.1533938,37.2809913
솔라가드프리미엄용인동백점,"경기 용인시 기흥구 평촌1로 9,1층(동백동)",자동차정비 유지 - 자동차부품,031-274-3014,127.1526364,37.2841006
해피마트,"경기 용인시 기흥구 동백8로 101 상가동 101호 (동백동,백현마을주공아파트)",유통업 영리 - 슈퍼마켓,031-275-0247,127.1620613,37.2840729
헤어스타일,경기 용인시 기흥구 동백중앙로 358-5 백현마을모아미래도 상가동 101호(동백동),보건위생 - 미용원,031-693-2010,127.1600241,37.2824711
주식회사바이오닉스,"경기 용인시 기흥구 동백죽전대로 481, 순석빌딩1층2층3층4층 (동백동)",보건위생 - 의료용품,031-1544-9107,127.1514999,37.2816357
사각사각,"경기 용인시 기흥구 동백7로 53,104호 (동백동,c4 2BL5 단지내상가)",음료식품 - 농?축?수산품,031-679-4343,127.1576834,37.2829418
동백줄리어드음악학원,경기 용인시 기흥구 동백7로 77 5층(동백동),학원 - 예?체능계학원,031-693-7090,127.1597818,37.2818567
주식회사찬원상사,경기 용인시 기흥구 평촌2로1번길 4-10 1층(동백동),음료식품 - 기타음료식품,070-8879-2837,127.1525793,37.281444
헤어카페,"경기 용인시 기흥구 동백7로 83 1층 113호(동백동, 중앙프라자)",보건위생 - 미용원,031-285-9501,127.1604196,37.2816463
해초락,경기 용인시 기흥구 평촌2로 8 1층(동백동),일반휴게음식 - 일반한식,031-284-9755,127.1529519,37.2818698
동백꽃,경기 용인시 기흥구 동백동 599 백현마을모아미래도상가 101,문화.취미 - 화원,031-693-5222,127.1606945,37.2831634
3M카케어센타,경기 용인시 기흥구 평촌1로2번길 11 (동백동),자동차정비 유지 - 카인테리어,031-286-9009,127.1532938,37.2851312
주공할인마트,경기 용인시 기흥구 동백동 602 호수마을주공아파트제가상가동106호,유통업 영리 - 슈퍼마켓,031-679-5888,127.1576011,37.2839992
오구쌀피자동백1호점,"경기 용인시 기흥구 동백중앙로 358-8 103호(동백동, 동백백현프라자)",일반휴게음식 - 서양음식,031-286-5953,127.160035,37.2820403
참다한쑥좌훈,경기 용인시 기흥구 평촌1로2번길 9 (동백동),회원제형태 - 기타4,031-274-8505,127.1532909,37.2849769
제이슨영어교습소,경기 용인시 기흥구 동백동 584 백현마을9단지상가2층,회원제형태 - 학원,031-286-0557,127.1666843,37.2824524
호수마을세탁,경기 용인시 기흥구 동백동 602 호수마을주공아파트상가동 105,수리서비스 - 세탁소,031-282-4755,127.1576011,37.2839992
인프라컴,경기 용인시 기흥구 평촌1로2번길 8 1층(동백동),사무통신 - 컴퓨터,031-603-1119,127.1535822,37.2848483
파피루스국어논술학원,경기 용인시 기흥구 동백중앙로 358-12 302호(동백동),회원제형태 - 학원,031-287-8765,127.1601975,37.2819869
생각n논리 동백점 논술교습소,"경기 용인시 기흥구 동백중앙로 358-19 206호(동백동, 미래도프라자)",회원제형태 - 학원,070-7545-8300,127.1608964,37.2815742
쿨헤어샵,경기 용인시 기흥구 평촌1로1번길 3-1 101호(동백동),보건위생 - 미용원,031-283-4512,127.1535406,37.283823
요리의여왕,경기 용인시 기흥구 동백동 654 호수마을동보노빌리티 상가-102,음료식품 - 기타음료식품,031-281-0423,127.1547588,37.2821766
동백바둑,"경기 용인시 기흥구 동백중앙로 358-19 503호(동백동, 미래프라자)",학원 - 기타 교육기관,031-693-7337,127.1608964,37.2815742
카페네스카페동백백현마을점,경기 용인시 기흥구 동백동 584 백현마을주공아아파트상가동 102호~103호,일반휴게음식 - 서양음식,031-679-7777,127.1666843,37.2824524
치킨마루,"경기 용인시 기흥구 동백7로 83 110호(동백동, 중앙프라자)",일반휴게음식 - 주점,031-287-8882,127.1604196,37.2816463
한국카센타,경기 용인시 기흥구 평촌1로8번길 6-1 (동백동),자동차정비 유지 - 자동차정비,031-275-6469,127.1531012,37.2846851
동백트리플에이치과의원,"경기 용인시 기흥구 동백7로 73 5층(동백동, 경안빌딩)",의원 - 치과의원,031-713-8875,127.1595859,37.2820153
(주)테라커피,경기 용인시 기흥구 평촌2로2번길 12 1층 (동백동),음료식품 - 기타음료식품,032-665-2213,127.1535067,37.2829345
동백쥬니어치과,경기 용인시 기흥구 동백동 832-1 동백훼미리프라자 5층 506호~507호 506,의원 - 치과의원,031-285-7522,127.1526181,37.2774675
바이오퍼(BUYOFFER),경기 용인시 기흥구 평촌1로1번길 3-1 202호(동백동),신변잡화 - 기타잡화,070-8888-9805,127.1535406,37.283823
조은이비인후과의원,"경기 용인시 기흥구 동백중앙로 352,5층 502호 (동백동,신동백빌딩)",의원 - 의원,031-693-5075,127.1594371,37.2821547
동백키즈바둑교습소,경기 용인시 기흥구 동백중앙로 358-12 유타운 502호(동백동),학원 - 기타 교육기관,031-281-8844,127.1601975,37.2819869
마마쿠래프트,경기 용인시 기흥구 동백중앙로 358-5 백현마을모아미래도 203 (동백동),직물 - 침구?수예점,031-287-6512,127.1600241,37.2824711
뿌리염색체험방,경기 용인시 기흥구 평촌1로8번길 14 101호 (동백동),보건위생 - 화장품,031-281-2919,127.1531352,37.2853638
술마을이야기,"경기 용인시 기흥구 평촌2로 9 (동백동,1층)",일반휴게음식 - 일반한식,031-287-2883,127.1526779,37.2816138
이챕터스영어학원,"경기 용인시 기흥구 동백중앙로 358-19 (동백동,미래도프라자401)",회원제형태 - 학원,031-281-3637,127.1608964,37.2815742
신성스포츠,경기 용인시 기흥구 동백동 동백배드민턴전용경기장,레져용품 - 스포츠?레져용품,031-275-0796,127.1647412,37.2792323
카누,"경기 용인시 기흥구 평촌2로1번길 7 (동백동,1층상가102호)",의류 - 정장,031-679-8090,127.1538224,37.2813981
용인돼지불백,"경기 용인시 기흥구 동백7로 53 101(동백동,호수마을주공아파트나상가동)",일반휴게음식 - 일반한식,031-274-5601,127.1576834,37.2829418
동백김샘학원,"경기 용인시 기흥구 동백중앙로 358-12 (동백동,유타운상가8층)",학원 - 보습학원,031-275-0666,127.1601975,37.2819869
인사동,경기 용인시 기흥구 평촌1로7번길 1 (동백동),일반휴게음식 - 일반한식,031-275-1712,127.1530715,37.2839479
동백안경원,"경기 용인시 기흥구 동백7로 83 112(동백동,중앙프라자)",보건위생 - 안경,031-275-6040,127.1604196,37.2816463
앨런골프스쿨,경기 용인시 기흥구 평촌2로2번길 10 202호(동백동),회원제형태 - 서적,031-679-0975,127.1534906,37.2826386
허브미술학원,"경기 용인시 기흥구 동백7로 73 (동백동,경안빌딩302호일부)",학원 - 예?체능계학원,031-282-2040,127.1595859,37.2820153
은혜약국,"경기 용인시 기흥구 동백7로 79, 두빈빌딩 (동백동) 102호",약국 - 약국,031-285-9907,127.159977,37.2817305
골프닥터,경기 용인시 기흥구 석성로 493 (동백동),레져용품 - 골프용품 전문점,031-283-8300,127.1534519,37.2897015
해람학원,"경기 용인시 기흥구 평촌1로 14 (동백동,1층)",학원 - 보습학원,031-281-0807,127.1521455,37.2843302
샤인헤어,"경기 용인시 기흥구 동백죽전대로 455-17 (동백동,동원로얄듀크상가B103호)",보건위생 - 미용원,031-275-1356,127.1488602,37.2799399
동일스포츠클럽,경기 용인시 기흥구 석성로 493 (동백동),회원제형태 - 레져업소,031-286-2236,127.1534519,37.2897015
밝은눈 안경,"경기 용인시 기흥구 동백중앙로 358-6 (동백동,동백프라자103,104호)",보건위생 - 안경,031-8005-6002,127.1598318,37.2822031
